,countriesAndTerritories,cases,deaths,dateRep,popData2019
206,Afghanistan,531,6,22/05/2020,38041757.0
207,Afghanistan,492,9,21/05/2020,38041757.0
208,Afghanistan,581,5,20/05/2020,38041757.0
209,Afghanistan,408,4,19/05/2020,38041757.0
210,Afghanistan,262,1,18/05/2020,38041757.0
211,Afghanistan,0,0,17/05/2020,38041757.0
212,Afghanistan,1063,32,16/05/2020,38041757.0
213,Afghanistan,113,6,15/05/2020,38041757.0
214,Afghanistan,259,3,14/05/2020,38041757.0
215,Afghanistan,280,5,13/05/2020,38041757.0
216,Afghanistan,285,2,12/05/2020,38041757.0
217,Afghanistan,369,5,11/05/2020,38041757.0
218,Afghanistan,255,6,10/05/2020,38041757.0
219,Afghanistan,215,3,09/05/2020,38041757.0
220,Afghanistan,171,2,08/05/2020,38041757.0
221,Afghanistan,168,9,07/05/2020,38041757.0
222,Afghanistan,330,5,06/05/2020,38041757.0
223,Afghanistan,190,5,05/05/2020,38041757.0
224,Afghanistan,235,13,04/05/2020,38041757.0
225,Afghanistan,134,4,03/05/2020,38041757.0
226,Afghanistan,164,4,02/05/2020,38041757.0
227,Afghanistan,222,4,01/05/2020,38041757.0
228,Afghanistan,122,0,30/04/2020,38041757.0
229,Afghanistan,124,3,29/04/2020,38041757.0
230,Afghanistan,172,0,28/04/2020,38041757.0
231,Afghanistan,68,10,27/04/2020,38041757.0
232,Afghanistan,112,4,26/04/2020,38041757.0
233,Afghanistan,70,1,25/04/2020,38041757.0
234,Afghanistan,105,2,24/04/2020,38041757.0
235,Afghanistan,84,4,23/04/2020,38041757.0
236,Afghanistan,61,1,22/04/2020,38041757.0
237,Afghanistan,35,2,21/04/2020,38041757.0
238,Afghanistan,88,3,20/04/2020,38041757.0
239,Afghanistan,63,0,19/04/2020,38041757.0
240,Afghanistan,51,1,18/04/2020,38041757.0
241,Afghanistan,10,4,17/04/2020,38041757.0
242,Afghanistan,70,2,16/04/2020,38041757.0
243,Afghanistan,49,2,15/04/2020,38041757.0
244,Afghanistan,58,3,14/04/2020,38041757.0
245,Afghanistan,52,0,13/04/2020,38041757.0
246,Afghanistan,34,3,12/04/2020,38041757.0
247,Afghanistan,37,0,11/04/2020,38041757.0
248,Afghanistan,61,1,10/04/2020,38041757.0
249,Afghanistan,56,3,09/04/2020,38041757.0
250,Afghanistan,30,4,08/04/2020,38041757.0
251,Afghanistan,38,0,07/04/2020,38041757.0
252,Afghanistan,29,2,06/04/2020,38041757.0
253,Afghanistan,35,1,05/04/2020,38041757.0
254,Afghanistan,0,0,04/04/2020,38041757.0
255,Afghanistan,43,0,03/04/2020,38041757.0
256,Afghanistan,26,0,02/04/2020,38041757.0
257,Afghanistan,25,0,01/04/2020,38041757.0
258,Afghanistan,27,0,31/03/2020,38041757.0
259,Afghanistan,8,1,30/03/2020,38041757.0
260,Afghanistan,15,1,29/03/2020,38041757.0
261,Afghanistan,16,1,28/03/2020,38041757.0
262,Afghanistan,0,0,27/03/2020,38041757.0
263,Afghanistan,33,0,26/03/2020,38041757.0
264,Afghanistan,2,0,25/03/2020,38041757.0
265,Afghanistan,6,1,24/03/2020,38041757.0
266,Afghanistan,10,0,23/03/2020,38041757.0
267,Afghanistan,0,0,22/03/2020,38041757.0
268,Afghanistan,2,0,21/03/2020,38041757.0
269,Afghanistan,0,0,20/03/2020,38041757.0
270,Afghanistan,0,0,19/03/2020,38041757.0
271,Afghanistan,1,0,18/03/2020,38041757.0
272,Afghanistan,5,0,17/03/2020,38041757.0
273,Afghanistan,6,0,16/03/2020,38041757.0
274,Afghanistan,3,0,15/03/2020,38041757.0
275,Afghanistan,3,0,11/03/2020,38041757.0
276,Afghanistan,3,0,08/03/2020,38041757.0
277,Afghanistan,0,0,02/03/2020,38041757.0
278,Afghanistan,0,0,01/03/2020,38041757.0
279,Afghanistan,0,0,29/02/2020,38041757.0
280,Afghanistan,0,0,28/02/2020,38041757.0
281,Afghanistan,0,0,27/02/2020,38041757.0
282,Afghanistan,0,0,26/02/2020,38041757.0
283,Afghanistan,1,0,25/02/2020,38041757.0
284,Afghanistan,0,0,24/02/2020,38041757.0
285,Afghanistan,0,0,23/02/2020,38041757.0
286,Afghanistan,0,0,22/02/2020,38041757.0
287,Afghanistan,0,0,21/02/2020,38041757.0
288,Afghanistan,0,0,20/02/2020,38041757.0
289,Afghanistan,0,0,19/02/2020,38041757.0
290,Afghanistan,0,0,18/02/2020,38041757.0
291,Afghanistan,0,0,17/02/2020,38041757.0
292,Afghanistan,0,0,16/02/2020,38041757.0
293,Afghanistan,0,0,15/02/2020,38041757.0
294,Afghanistan,0,0,14/02/2020,38041757.0
295,Afghanistan,0,0,13/02/2020,38041757.0
296,Afghanistan,0,0,12/02/2020,38041757.0
297,Afghanistan,0,0,11/02/2020,38041757.0
298,Afghanistan,0,0,10/02/2020,38041757.0
299,Afghanistan,0,0,09/02/2020,38041757.0
300,Afghanistan,0,0,08/02/2020,38041757.0
301,Afghanistan,0,0,07/02/2020,38041757.0
302,Afghanistan,0,0,06/02/2020,38041757.0
303,Afghanistan,0,0,05/02/2020,38041757.0
304,Afghanistan,0,0,04/02/2020,38041757.0
305,Afghanistan,0,0,03/02/2020,38041757.0
306,Afghanistan,0,0,02/02/2020,38041757.0
307,Afghanistan,0,0,01/02/2020,38041757.0
308,Afghanistan,0,0,31/01/2020,38041757.0
309,Afghanistan,0,0,30/01/2020,38041757.0
310,Afghanistan,0,0,29/01/2020,38041757.0
311,Afghanistan,0,0,28/01/2020,38041757.0
312,Afghanistan,0,0,27/01/2020,38041757.0
313,Afghanistan,0,0,26/01/2020,38041757.0
314,Afghanistan,0,0,25/01/2020,38041757.0
315,Afghanistan,0,0,24/01/2020,38041757.0
316,Afghanistan,0,0,23/01/2020,38041757.0
317,Afghanistan,0,0,22/01/2020,38041757.0
318,Afghanistan,0,0,21/01/2020,38041757.0
319,Afghanistan,0,0,20/01/2020,38041757.0
320,Afghanistan,0,0,19/01/2020,38041757.0
321,Afghanistan,0,0,18/01/2020,38041757.0
322,Afghanistan,0,0,17/01/2020,38041757.0
323,Afghanistan,0,0,16/01/2020,38041757.0
324,Afghanistan,0,0,15/01/2020,38041757.0
325,Afghanistan,0,0,14/01/2020,38041757.0
326,Afghanistan,0,0,13/01/2020,38041757.0
327,Afghanistan,0,0,12/01/2020,38041757.0
328,Afghanistan,0,0,11/01/2020,38041757.0
329,Afghanistan,0,0,10/01/2020,38041757.0
330,Afghanistan,0,0,09/01/2020,38041757.0
331,Afghanistan,0,0,08/01/2020,38041757.0
332,Afghanistan,0,0,07/01/2020,38041757.0
333,Afghanistan,0,0,06/01/2020,38041757.0
334,Afghanistan,0,0,05/01/2020,38041757.0
335,Afghanistan,0,0,04/01/2020,38041757.0
336,Afghanistan,0,0,03/01/2020,38041757.0
337,Afghanistan,0,0,02/01/2020,38041757.0
338,Afghanistan,0,0,01/01/2020,38041757.0
339,Afghanistan,0,0,31/12/2019,38041757.0
340,Albania,788,14,14/12/2020,2862427.0
341,Albania,879,12,13/12/2020,2862427.0
342,Albania,802,12,12/12/2020,2862427.0
343,Albania,873,14,11/12/2020,2862427.0
344,Albania,752,15,10/12/2020,2862427.0
345,Albania,753,14,09/12/2020,2862427.0
346,Albania,695,17,08/12/2020,2862427.0
347,Albania,840,16,07/12/2020,2862427.0
348,Albania,846,19,06/12/2020,2862427.0
349,Albania,801,18,05/12/2020,2862427.0
350,Albania,782,13,04/12/2020,2862427.0
351,Albania,705,17,03/12/2020,2862427.0
352,Albania,832,12,02/12/2020,2862427.0
353,Albania,557,12,01/12/2020,2862427.0
354,Albania,835,11,30/11/2020,2862427.0
355,Albania,545,16,29/11/2020,2862427.0
356,Albania,645,18,28/11/2020,2862427.0
357,Albania,656,10,27/11/2020,2862427.0
358,Albania,644,8,26/11/2020,2862427.0
359,Albania,744,19,25/11/2020,2862427.0
360,Albania,795,17,24/11/2020,2862427.0
361,Albania,565,14,23/11/2020,2862427.0
362,Albania,737,13,22/11/2020,2862427.0
363,Albania,836,15,21/11/2020,2862427.0
364,Albania,786,11,20/11/2020,2862427.0
365,Albania,711,9,19/11/2020,2862427.0
366,Albania,694,6,18/11/2020,2862427.0
367,Albania,602,8,17/11/2020,2862427.0
368,Albania,597,11,16/11/2020,2862427.0
369,Albania,532,7,15/11/2020,2862427.0
370,Albania,490,7,14/11/2020,2862427.0
371,Albania,410,8,13/11/2020,2862427.0
372,Albania,507,11,12/11/2020,2862427.0
373,Albania,563,8,11/11/2020,2862427.0
374,Albania,525,12,10/11/2020,2862427.0
375,Albania,501,2,09/11/2020,2862427.0
376,Albania,495,8,08/11/2020,2862427.0
377,Albania,489,6,07/11/2020,2862427.0
